 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
2214670,202502,1201-1800,ZZZ.Airport,US,,,,,,,,,,,,TRACON ZZZ,Air Carrier,Regional Jet 900 (CRJ900),,2,Part 121,IFR,Passenger,,Final Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Type 1100,,Situational Awareness,,,2214670,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Type 1200,,,,,2216617,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification,Human Factors,Human Factors,"We were flying into ZZZ I was pilot monitoring. The Captain was pilot flying. Over the Captain's left shoulder next to the left wing the Captain claimed that he saw a drone. However I was unable to actually get a visual on the object to see what it was. However I did see a shadow in my peripheral vision. He had claimed that it was a drone and told me let ATC know. [I was] pilot monitoring; and I was communicating on the radios. I believe at this time we had been flying on the arrival or a possible vector onto the final approach course for the runway. I replied with his request a notified ATC of what the Captain thought he saw. About 2 minutes after that PIREP ATC respond with a couple questions about the object he saw. I had not seen the object so I was communicating with the Captain as ATC was asking the questions. A few examples of the questions are: Was it a quadcopter? Was it a rotor craft a fixed wing-craft? What size would you say it was? I would look over to him and he would respond the best that he could describe what he had saw. After all the reporting I had made to ATC he then looked over and said you know maybe it was the kids balloon or something. I wish I could contribute more details however I personally did not see the object. I can account for a slight blur or shadow in my peripheral vision.",,"Drone Near MissCause: Drone or similar object unreported in controlled airspace. Object passed near left side of aircraft.  Within the wingspan.",,"Air carrier flight crew reported an NMAC on final approach with a UAS. No evasive action was taken.",
2215463,202502,1201-1800,PDX.Airport,OR,,,600,,,,,,,,,,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Final Approach,,Class C PDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class C PDX,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,,,,2215463,,,,,,,,,,,,Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"While on final approach for the ILS 10R into PDX and between the points of JADNU and the beginning of the runway threshold as we were passing over the INTERSTATE I-5 Bridge over the Colombia River I saw the drone flying underneath the aircraft off to my left side. The only reason I had looked out off to the left is because an aircraft was taking off from the local Pearson VUO airport on the other side of the river and when I was looking that way is when I noticed the drone flying underneath us by the bridge. It was heading west up the river and towards downtown Portland. No disruption nor damage to the aircraft occurred. Suggestions: There shouldn't be even any drone activity around a major airport like that especially when aircraft are landing in the vicinity of where the drone was flying.",,,,"Air carrier Captain reported an airborne conflict on final approach with a UAS. No evasive action was taken.",
2215494,202502,0601-1200,FIRMN,TX,,13,,15500,,,,,,,,TRACON D10,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Climb,SID HRPER3,Class E D10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class E D10,,,,,,,,,,,,,,,,,,,,Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,,,,2215494,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,Vertical 100,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"Climbing through 15;500 feet on the HRPER3 departure off 18L Just as I looked up from my instruments and out the window I saw what appeared to be a drone pass about 100 feet above the cockpit. It happened very fast and the only features I was able to identify was that it was longer than it was wide; the color was white; and I saw something black which may have been rotors. It appeared to be not a small hobby drone and it looked maybe 3 to 4 feet long. The First Officer did not see the drone. This event probably lasted about a second. Considering the altitude I believe the sighting took place about 13nm past FIRMN waypoint.I understand this may not be a very detailed report and my description may lack some accuracy; however; I may not be the only pilot to report a drone in that area or there may be others in the future. At least this generates a history.",,,,"Air carrier Captain reported an NMAC with a UAS while on climbout. No evasive action was taken.",
2215684,202502,1201-1800,CHD.Airport,AZ,320,0.5,,2300,,VMC,10,,Daylight,,,,FBO,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,2,Part 91,,Training,,Initial Approach,Visual Approach,Class D CHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class D CHD,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,,FBO,Instructor,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 57; Flight Crew Total 962; Flight Crew Type 443,,,,,2215684,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 25; Vertical 0,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"Small aircraft training flight in CHD right pattern for 22R. Midfield in the downwind a drone was spotted at 2300 feet pattern altitude on the right side of the aircraft. Was a mid sized drone with a green light and was not showing up on ADSB. No evasive maneuvers were needed to avoid and was not seen after incident. No damage to aircraft and landing was made no issues.",,,,"Flight Instructor reported an NMAC with a UAS while in the traffic pattern. No evasive action was taken and the flight continued without further incident.",
2216156,202502,,ZZZ.Airport,US,,,,1000,,VMC,,,,,,Tower ZZZ,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Final Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Check Pilot; Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 192.22; Flight Crew Total 3341.90; Flight Crew Type 2401.98,,,,,2216156,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 18.28; Flight Crew Type 621.85,,,,,2216172,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,Horizontal 0; Vertical 200,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"I reported to tower that some balloons or possible drone just flew right over us at about 1200'. It was quick; but if I remember correctly; it was 2 or 3 balloons and attached to the bottom was a black square looking box.  When the sun reflected off of it; it had a tint of blue.   They asked for a description; but we were coming up to 500' and told them I will tell them on the ground.  However; tower notified the Commercial Aircraft I believe who was behind us.  They reported seeing these Mylar ballon's at 1200' on the extended runway centerline.  Since they gave the description; I did not bother to relay the information.",,"On approach to RWY XXR. (ZZZ visual); crew noticed what appeared to be balloons or drone on final approach. It was not in the flight path of the aircraft but PM notified tower. Altitude was around 1000-1500'; roughly 2-3 miles from approach end of RWY. (Drone was above aircraft altitude and south).  Landed uneventfully.  Subsequent aircraft also were visual with traffic.",,"Air carrier flight crew reported an NMAC on final approach with what was possibly a UAS or balloon. No evasive action was taken.",
2216450,202502,1801-2400,ZZZ.Airport,US,,10,1200,,,,10,,Night,CLR,,,Air Taxi,Helicopter,,3,Part 135,,Ambulance,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft / UAS,,,,,,Air Taxi,Observer,,,,,,,2216450,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,Horizontal 5; Vertical 5,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors; Environment - Non Weather Related,Ambiguous,"I represent a part 135 Air Ambulance Operator. On Day 0 @ approx XA30 hours one of our helicopters was involved in a near miss with an Unidentified Flying Object; believed to be a drone; at approx 7200'MSL; or 1200' AGL over the nearby region (10 miles SE of ZZZ). The Pilot and Medical Crew were flying under Night Vision Goggles (NVGs) on departure from the ZZZ area; returning to ZZZ1. One of the crew saw an object directly in front of the windscreen and called to the pilot to take evasive action. The pilot banked hard to the left; and another crewmember witnessed the object pass to the right of the fuselage and just below the main rotor disc. It was estimated that the object was less than 10' from the aircraft.The crew believed the object to be a drone; but was unable to positively identify it due to the night time conditions.","The reporter stated it is uncertain whether the object was a drone or balloon. Reporter also stated this is the first time an NMAC with an unknown object has happened to any of the company helicopter crews but they have had drone sightings previously.",,,"Air ambulance employee reported an NMAC between one of the company's helicopters and a supposed UAS or balloon during a flight. The helicopter crew took evasive action to avoid a collision.",
2217701,202502,1201-1800,ZZZ.Airport,US,,,231,,,VMC,10,,Daylight,CLR,,,Government,Small UAS (At or above 0.55 lbs and less than 55 lbs),,2,Part 107,None,Search & Rescue,,Takeoff / Launch,,Class D ZZZ,,,,,,,,,,,,N,,,Small,Multi-Rotor,VLOS,Y,Manual Control,Airport / Aerodrome / Heliport; Critical Infrastructure,,Purchased,Number of UAS 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Government,Remote PIC (UAS); Person Manipulating Controls (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Total 7.04; Flight Crew Total (UAS) 11.25,,Time Pressure,,,2217701,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person UAS Crew,Other Post-flight,General None Reported / Taken,Human Factors; Procedure,Ambiguous,"On Day 0; I responded to the scene to attempt to locate endangered missing child. This location is X.X nautical miles south of ZZZ airport. The child was in an area where heavy vehicle traffic was present and a major road was nearby. Due to the exigent circumstance I responded to the scene lights/sirens to conduct a search and resecure mission with a drone to locate the child. After the child was found; the conclusion of the mission; I discovered no contact was made to FAA for approval in the airspace.",,,,"Government UAS crew reported flying in controlled airspace without authorization.",
2218117,202503,1801-2400,ZZZ.Airport,US,,4.45,188,,,VMC,10,,Night,CLR,,,Commercial Operator (UAS),DJI M30T,,1,Part 107,None,Surveying / Mapping (UAS),,Cruise,,Class G ZZZ,,,,,,,,,,,,N,,,Small,Multi-Rotor,VLOS,N,Autonomous / Fully Automated,Private Property,,Purchased,Number of UAS 1,,,,,,,Helicopter,,,,,,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Commercial Operator (UAS),Remote PIC (UAS); Person Manipulating Controls (UAS),Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Commercial; Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 3.6; Flight Crew Total 2875; Flight Crew Total (UAS) 405; Flight Crew Type (UAS) 5.98,,Time Pressure; Situational Awareness,,,2218117,,,,,,,,,,,,Conflict NMAC,Horizontal 200; Vertical 100,,Person UAS Crew,In-flight,General None Reported / Taken,Human Factors; Environment - Non Weather Related; Procedure,Ambiguous,"On Day 0; I conducted two autonomous flights to capture imagery of a hotel located in Class G airspace. Two flights were planned; the first approximately 2 hours before sunset (XA:33 Hours); utilizing a DJI Mavic 3 Enterprise. An autonomous flight plan was created; capturing RGB images along parallel flight lines oriented 258/78 degrees with a 90% overlap directly over the hotel property at approximately 165' AGL altitude. Upon completion of the autonomous portion of the flight; oblique images were captured by manual flight around the property's perimeter. The UAS captured images with the camera angled at 45 degrees and oriented towards the building throughout the flight while manually flying around the entire perimeter at 5-7 MPH. Upon completing the perimeter flight/oblique image capture; the UAS pilot decided to execute a second autonomous flight; adjusting the UAS speed to 9 MPH vs 15 MPH of the first autonomous flight. All three of these flights (autonomous flights 1 & 2; plus 1 perimeter oblique flight) were conducted without incident and concluded approximately 1.5 hours before sunset.  The second half of the mission was flown with a DJI M30T; a UAS with a thermal sensor to capture IR images of the hotel's roof. This flight could not begin until 30 minutes after sunset (XB:03). While waiting for the flight window to open; I heard a helicopter close by and noticed it approximately 1/4 SM East; likely landing at the medical center approaching from the south. Coincidentally; I took a photo of the helicopter at XA:48; just before it disappeared behind the buildings. As soon as the thermal window opened; the M30T was launched and commenced its autonomous flight. The UAS was operating at 188' AGL; and the flight was expected to be completed in 7 minutes.  The flight path maintained the orientation of 78/258 degrees and a 90% overlap. About midway through the flight; the helicopter was heard; but it did not sound like it was taking off; or if it was; it was hovering for a period of time. The helicopter suddenly appeared; the drone was on a 78-degree leg and directly over the hotel. The helicopter was on a westerly flight path at a very low altitude and high rate of speed. I noticed dual landing lights on the helicopter's nose were illuminated; which assisted in assessing the altitude and direction of flight. The instant I determined the helicopter's flight direction could conflict with my UAS operation; I anticipated terminating the flight and taking evasive action. The UAS anti-collision beacons (strobes; upper and lower) had been activated before launch; and the helicopter pilot likely saw them. While they did not appear to take evasive action; the helicopter passed just south of our operation; parallel to the UAS's autonomous flight path. The altitude at which the helicopter pilot departed the area was too low. As a manned pilot with several hours of helicopter flight instruction; I understand helicopters operate at much lower altitudes than fixed-wing aircraft.  Remember that the UAS was operating at 188' AGL - but only 90-95' above the hotel's roof.  As a pilot since 19XX; with ASEL/AMEL ratings; and a CFII for 30+ years; this is the first time I've filed a report; and the first time in nearly 3;000 hours of flight time it felt necessary; not because this is sometimes viewed as a way to cover yourself. I'm not concerned about the compliance of the UAS flight - but more concerned that the helicopter flight could have put themselves or someone on the ground in danger if their flight path had been a few degrees to the right.",,,,"Part 107 UAS pilot reported a near miss with a low flying helicopter operating at a nearby medical center. Neither pilot took evasive action.",
2218118,202502,0601-1200,ZZZ.Airport,US,,35,150,,,VMC,10,,Daylight,CLR,,,Commercial Operator (UAS),DJI M30T,,2,Part 107,None,Public Safety / Pursuit (UAS),,Cruise,,,,,,,,,,,,,,N,,,Small,Multi-Rotor,VLOS,N,Manual Control,Other National Forest,,Purchased,Number of UAS 1,UAS Component Unknown / Undifferentiated,DJI,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Commercial Operator (UAS),Remote PIC (UAS); Person Manipulating Controls (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 125; Flight Crew Total 0; Flight Crew Total (UAS) 450; Flight Crew Type (UAS) 75,,Confusion; Troubleshooting; Human-Machine Interface; Situational Awareness,,,2218118,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Inflight Event / Encounter Fly Away (UAS); Inflight Event / Encounter Loss Of Aircraft Control,,,Person UAS Crew,In-flight,Aircraft Lost Link (UAS); Aircraft Aircraft Damaged,Aircraft; Human Factors; Software and Automation,Ambiguous,"DJI M30T Flight Log and Crash DRAFT Day 0 (XA00 - XC00); Person A written Day 1My Home Point for this training mission was the west side of the horse trailer parking lot at Location A. There was only one other car in the parking lot all morning. The weather was very good. Clear blue skies; 42 degrees; and just a small amount of wind around 5-10mph. My plan was to look for subjects in a forested area to determine the best height and sun angle for RGB visual detection. My subject was about 100 yards away from the home point up and over a small hill and in some trees. I checked my drone for proper arm extension and lock and propeller condition. All was good. I checked the controller preflight screen for height and distance and changed the height in case I needed to fly higher than 400' AGL to go up a mountain. I set it for 600. I glanced at the low battery and signal loss behaviors and did not notice my signal loss was set to hover. I knew; having been up here last time; that there was RC signal loss behind some of the close-by hills but I made a mental note to keep an eye on the RC signal and just fly higher if it became a problem - as I did last time It was nice enough to not have to be inside the vehicle at all so I got my chair out and sat in the shade of the vehicle so I could see the screen clearly and brightly.After getting the coordinates of my lost subject and dropping a pin on the controller; I launched the drone to my first search altitude which was 150' AGL. I documented last time that this was sufficient height to clear the nearest hill and trees and maintain visual line of sight. I was going to flew to the pin using the wide camera. I was able to see the subject almost immediately upon leaving the parking lot. He was under a tree but had on a brightly-colored jacket and was not shaded by the trees. He was a little off from where the pin was - about 20 feet - so I created a second pin for his actual location. I settled on a distance away from the subject to make my circles. I switched to the zoom (zoomed out) to see the subject clearly but also to be able to see some of the surrounding area; I guessed the circle had a radius of about 100'. I flew around the subject manually one time and determined that except for when he was blocked by trees; he was very visible from all angles. It was actually better when the drone was NOT directly between him and the sun because the sun made the brightly-colored jacket very bright and almost washed out. I was able to mostly correct this however by decreasing the exposure to make everything darker but it was interesting to observe that with the camera in auto he was too bright. I then tried the Point of Interest (POI) feature and flew around the subject a couple of times to see how this worked and it worked very nicely. I was manually adjusting the speed of the circle by using the side movement stick. I noted that the actual POI center point was NOT where the pin was unless the pin and the center of the camera were the exact same spot when I activated the POI. At least this is what I thought based on my observations of the drone behavior when I initiated the POI. I flew both clockwise and counterclockwise a couple of times to get a feel for everything and making observation of the surrounding area and what I was seeing. I was not paying attention to the RC signal after the first five minutes or so because it never dropped below full bars. The subject switched to camo clothing as I brought the drone home to change batteries.Everything was going very smoothly up to this point. I hot swapped the batteries and flew back to the coords to begin searching. Again I set my altitude to be 150' AGL from the home point. I could not see the subject at all this time with wide; zoom or thermal. I flew to within about 100' of the pin and circled while I tried different camera settings to no avail. The subject began moving to different spots and I was finally able to pick him out. I had to zoomin a couple of steps to consistently see him well - maybe 5X. I had to add a new pin because the subject has relocated to a different set of trees. I had trouble adding a new pin for an undetermined reason. I also was not able to figure out how to make the POI start at his exact location - it kept wanting to fly around a point that was about 10 feet to the left of where he was standing. I gave up so that I could focus on determining the best angle. I made at least one circle and I'm pretty sure that the center point of the POI was not holding steady. I was only able to determine that at any angle where the subject was not blocked by tress we equally effective at being able to see him. As I was trying to confirm this by continuing to circle using the right stick pushed full left the drone took off and I lost RC. It is very possible that I was changing positions slightly of where I stood but I guess the radio signal was getting blocked by the small hill to the south of where I was standing. Panic set in. The subject confirmed that the drone had moved rapidly to the south and was quickly out of his sight as well. I tried everything I could think of to get RC back but I was never able to re-acquire. I finally checked my setting for RC loss and found it set to Hover. Based on the fact that the drone was one-half to three quarters of a mile from home I don't feel it went into hove mode very quickly but this is just a guess because I was not paying attention to the RC strength and when I actually completely lost the RC signal. Better one half mile that one or two miles AND it looked like - or I was strongly praying - that the controller had the final location of the drone. In my panic and confused state and not able to think clearly I put my faith in the controller and began walking toward the drones last plotted location that it was able to communicate to the controller which - without RC - I felt could be a fair bit off of actual. I had enough sense to lock my vehicle and get the important things inside before taking off. The subject had radioed that he would be leaving his position to walk in the direction he saw the drone last heading. I caught up to him and continued to follow the controller screen. It look bad as we were heading right for a much higher hill in the distance. I was convinced the drone had crashed into the rocky peak. As we got closer it looked like the drone had flown around the peak and was on the other side. We tried to hike up and over the peak but it got steep so we worked our way around the east side to a saddle and the map said I was close and the drone was a little more south and west. I got to where the controller and drone were on top of each other and took a break. During the break looked up and saw the drone directly in front of me about 10' away and partially buried in a patch of crusty hard snow in an 20' diameter area clear of trees. I realized at this moment that I did not bring my phone and could not take any pictures. CRAP! The left rear propeller was completely buried in snow down to the ground but all the other quadrants look pretty good and especially the camera. The camera was up high on the snow and appeared untouched which it still looks pristine! I carefully lifted the drone out of the snow and set it on a clear spot while I considered what to do next. Also did more damage inspection. The right front propeller had the only other damage of having just the tip broken off. The left rear major damage was one propeller broke off (and recovered from the snow bank) and the other prop on this motor had a very small piece broken off near the tip but otherwise was attached to the motor.I did not have a camera or my phone so I was not able to take any pictures of the crash in situ.I am going to guess that the drone flew to this spot and began it's hover. When the batteries got low it tried to land. It got to it's landing height and didn't land because the bottom vision sensor did not know how to interpret the snow and it just continued to fly until the battery reached critical low and it did a force landing in the snow and for some reason it was not a very controlled landing. The ground and snow were not perfectly level but my opinion is that it should have been able to land gently while also level and not made this significant of an impact. It landed ass first and both batteries were ejected but still inside the drone - one almost fully inside and the other half slid out. This was battery pair set 2. Upon testing it has one solid light and one flashing light. I would have expected only one flashing light. For comparison; battery set 1 which was the first used also has the same battery light flashes.I powered up the drone this morning and all systems checked out. I ran the cameras through their paces and they all worked fine.I will be initiating a repair ticket today.After checking the flight log for the crash flight it turns out that after I launched and flew to the subject; and hovered trying to pin his location and having trouble with the pin; the drone made about a half of a rotation in the manual POI mode before flying off into a much larger loop and losing RC so... I am not sure if the loss of RC was the root cause (probably) or the fact that I didn't set the POI correctly due to the pinning issue or some other function for setting POI's.I did not have a sterile cockpit due to having radio comms with lost subject. There ended up being non-essential comms when the flyaway initiated.HP elevation 8090MSL Crash elevation 8200MSL per Google Earth - does not include forest height.Just shipped M30T off for repairs. Day 0 @XD45hrsThere were several things I didn't do once I realized I lost comms with the drone; and that it was set to hover for lost RC rather than RTH. I could see that I may have the crash or hover location. I considered that; when the batteries got low; the drone may initiate RTH and come home and I also may re-acquire the RC. I waited around the area for a while (5 - 10 minutes) and maybe even long enough that I knew the batteries must have gotten to the low point and if it was coming home; I should have seen it by now. At some point I decided the drone was most likely not coming back so I started off in the direction I saw on the RC. I did not take food; water; phone; or GPS; but I did have the RC in a harness on my chest. Many scenarios were playing out in my mind as we got closer to the Last Known Position (LKP). All I cared about was not losing a good drone. I was hopeful that there would not be extensive damage and that maybe it was able to initiate a controlled landing near the LKP before losing power. I just finished recovering the corrupted video of the drone's last flight and it clearly shows the drone flying away and ultimately flying into trees. It never went into hover mode after I lost control. I didn't feel the damage supported a high speed crash into trees but it is clear to me from the video that this is what happened. It also explains why the batteries were not more depleted. It should have stopped and hovered at about a minute before crashing because it should have detected the loss of RC but did not. I will be looking at the flight log more closely... Day 3 Having thought about this and having slept on it I am now entertaining the possibility that this was at least partially a flyaway situation and a failure of the drone to detect loss of RC and initiate the hover.I am trying to find a way to convert the downloaded flight log file from the drone into readable data. When you download about 8 months worth of flight logs (because you have never done this before) you get a .DAT file that is 3.5 Gigs in size. There is software that will convert .DAT files but nothing for files over a gig in size. What I would specifically be looking for is the timing around the loss of RC - if it was detected - and the crash. I looked at the data from the controller that showed the GPS breadcrumb",,,,"Part 107 UAS pilot reported a flyaway that was due to an unknown aircraft issue or possible signal loss. The UAS was recovered with minor damage.",
2220285,202503,0601-1200,PHX.Airport,AZ,,,,6000,,,,,,,,,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Descent; Initial Approach,STAR BRUSR 1,Class B PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B PHX,,,,,,,,,,,,,,,,,,,,Aircraft / UAS; Airport / Aerodrome / Heliport,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,,,,2220285,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,Vertical 5,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"On descent into PHX on the BRUSR 1 Rnav arrival at approximately PGSKN intersection at 6000 msl. It look like  a blackish colored drone approximately 1 foot squared flew approximately 5 to 7 feet above the front flight deck windows. Appeared to be traveling in a south to north directions. No further incident. Glad we did not hit the drone.",,,,"Air carrier pilot reported an NMAC with a UAS during approach. No evasive action was taken.",
